case_id,pattern,question,gold_answer,retrieved_ids,retrieval_recall_at_k,retrieval_precision_at_k,retrieval_mrr,top_attribution_is_gold,gold_attribution_mass,gold_deletion_auc,gold_insertion_auc,retrieval_order_deletion_auc,leave_one_out_deletion_auc,random_deletion_auc,full_gold_support,interaction_total_pairs,interaction_evaluable_pairs,interaction_skipped_pairs,interaction_coverage,interaction_correct_signs,interaction_sign_recovery,interaction_sign_accuracy,interaction_complementary_total_pairs,interaction_complementary_evaluable_pairs,interaction_complementary_skipped_pairs,interaction_complementary_coverage,interaction_complementary_correct_signs,interaction_complementary_sign_recovery,interaction_complementary_sign_accuracy,interaction_conflicting_total_pairs,interaction_conflicting_evaluable_pairs,interaction_conflicting_skipped_pairs,interaction_conflicting_coverage,interaction_conflicting_correct_signs,interaction_conflicting_sign_recovery,interaction_conflicting_sign_accuracy,interaction_redundant_total_pairs,interaction_redundant_evaluable_pairs,interaction_redundant_skipped_pairs,interaction_redundant_coverage,interaction_redundant_correct_signs,interaction_redundant_sign_recovery,interaction_redundant_sign_accuracy
missing_penicillin_discoverer,missing_evidence,Who discovered penicillin?,Alexander Fleming discovered penicillin.,missing_penicillin_mould|missing_penicillin_medicine|comp_curie_chemistry|missing_penicillin_resistance|redundant_neil_a|redundant_neil_b,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
missing_japan_currency,missing_evidence,What is the currency of Japan?,The currency of Japan is the yen.,conflict_japan_yen|direct_tokyo_currency|conflict_japan_yuan|missing_japan_islands|conflict_japan_won|missing_japan_tokyo,,,,,,0.43802272152642874,0.8699999999999998,0.43802272152642874,0.43802272152642874,0.7568491421169558,0.86,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
conflict_australia_capital,conflicting_evidence,What is the capital city of Australia?,Canberra is the capital city of Australia.,conflict_australia_correct|conflict_australia_sydney|conflict_japan_tokyo_distractor|conflict_australia_states|direct_tokyo_evidence|redundant_france_a,1.0,0.16666666666666666,1.0,True,0.5089089237586972,0.4882023467888989,0.8699999999999998,0.5853905243489893,0.5367964355689442,0.7116595172451624,0.86,1,1,0,1.0,1,1.0,1.0,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,
conflict_potassium_symbol,conflicting_evidence,What is the chemical symbol for potassium?,The chemical symbol for potassium is K.,conflict_potassium_correct|conflict_potassium_sodium|conflict_mercury_element_distractor|conflict_potassium_phosphorus|conflict_potassium_element|missing_japan_language,1.0,0.16666666666666666,1.0,True,0.3349867370954584,0.5081241142630247,0.8699999999999998,0.5766159702983686,0.5081241142630247,0.7371236833547182,0.86,1,1,0,1.0,1,1.0,1.0,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,
conflict_largest_planet,conflicting_evidence,Which is the largest planet in the Solar System?,Jupiter is the largest planet in the Solar System.,conflict_planet_correct|conflict_planet_saturn|conflict_planet_earth|conflict_solar_jupiter|conflict_earth_planet|missing_mars_orbit,1.0,0.16666666666666666,1.0,True,0.3661609272077949,0.5419186993818055,0.8699999999999998,0.5369186993818054,0.5369186993818054,0.7467372692472689,0.86,1,1,0,1.0,1,1.0,1.0,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,
conflict_mona_lisa_artist,conflicting_evidence,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.,conflict_monalisa_correct|conflict_monalisa_museum|missing_van_gogh_sunflowers|conflict_monalisa_michelangelo|redundant_france_lyon|missing_japan_language,1.0,0.16666666666666666,1.0,True,0.7573224230958525,0.13975934769518036,0.8699999999999998,0.13975934769518036,0.13975934769518036,0.530470950381304,0.86,1,1,0,1.0,1,1.0,1.0,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,
redundant_atlantic_border,redundant_evidence,Which ocean borders South America to the east?,The Atlantic Ocean borders South America to the east.,redundant_atlantic_a|redundant_atlantic_b|redundant_atlantic_pacific|missing_magellan_strait|redundant_atlantic_geography|missing_japan_islands,1.0,0.3333333333333333,1.0,True,0.7009735711206768,0.5056600447397567,0.8339998816488183,0.48143392162413995,0.48143392162413995,0.6926239752470886,0.86,1,1,0,1.0,1,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0
redundant_france_capital,redundant_evidence,What is the capital city of France?,Paris is the capital city of France.,redundant_france_a|redundant_france_b|conflict_japan_tokyo_distractor|missing_japan_tokyo|direct_tokyo_evidence|redundant_france_lyon,1.0,0.3333333333333333,1.0,True,0.7612536154078557,0.4451794824486086,0.8699999999999998,0.4451794824486086,0.4451794824486086,0.7327892515719058,0.86,1,1,0,1.0,1,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0
redundant_earth_orbit,redundant_evidence,What object does Earth orbit?,Earth orbits the Sun.,missing_hubble_orbit|redundant_orbit_a|missing_mars_orbit|conflict_earth_planet|redundant_orbit_moon|conflict_planet_earth,0.5,0.16666666666666666,0.5,False,0.16650018729311067,0.3977563724907056,0.7481748106313226,0.6763496212626455,0.44431521282365977,0.5932114028549087,0.7999999999999999,1,0,1,0.0,0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,
redundant_largest_ocean,redundant_evidence,Which is the largest ocean on Earth?,The Pacific Ocean is the largest ocean on Earth.,redundant_pacific_a|redundant_pacific_atlantic|redundant_blue_whale_a|redundant_sahara_antarctica_distractor|conflict_planet_earth|conflict_earth_planet,0.5,0.16666666666666666,1.0,True,0.5869721526775192,0.35626439932978043,0.8699999999999998,0.35626439932978043,0.35626439932978043,0.6655930872783892,0.86,1,0,1,0.0,0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,
complementary_inner_rocky_planets,complementary_evidence,Which three planets after Mercury are inner rocky planets?,"Venus, Earth, and Mars.",comp_inner_venus|comp_inner_jupiter_distractor|comp_inner_mars|comp_inner_earth|missing_mars_planet|conflict_solar_planets_distractor,1.0,0.5,1.0,True,0.839615283713679,0.36312411426302466,0.7698414772979895,0.5815652739300705,0.5482826369650352,0.5743025754655277,0.84,3,3,0,1.0,1,0.3333333333333333,0.3333333333333333,3.0,3.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,
complementary_rgb_primary_light,complementary_evidence,Which three additive primary colours of light are listed?,"Red, green, and blue.",comp_primary_red|comp_primary_blue|comp_primary_green|comp_primary_paint_distractor|missing_mars_planet|redundant_light_speed_c,1.0,0.5,1.0,True,0.6394779230604949,0.2829655915610142,0.7199493036317021,0.451508143964656,0.33119109856063494,0.5196738658452158,0.82,3,3,0,1.0,3,1.0,1.0,3.0,3.0,0.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,
redundant_speed_of_light,redundant_evidence,What is the approximate speed of light in a vacuum?,"About 300,000 kilometres per second.",redundant_light_speed_a|redundant_light_speed_c|redundant_light_speed_b|conflict_earth_planet|comp_primary_blue|redundant_light_sound_distractor,1.0,0.5,1.0,True,0.9438502528905289,0.142449303631702,0.8374999999999999,0.3725,0.12244930363170199,0.4427110275595185,0.83,3,3,0,1.0,3,1.0,1.0,,,,,,,,,,,,,,,3.0,3.0,0.0,1.0,3.0,1.0,1.0
redundant_hamlet_author,redundant_evidence,Who wrote Hamlet?,William Shakespeare.,redundant_hamlet_a|redundant_hamlet_b|redundant_hamlet_c|redundant_orwell_a|direct_austen_evidence|redundant_orwell_huxley_distractor,1.0,0.5,1.0,True,0.9725273531750134,0.3108695005124284,0.8699999999999998,0.3108695005124284,0.3108695005124284,0.7184299279656684,0.86,3,3,0,1.0,3,1.0,1.0,,,,,,,,,,,,,,,3.0,3.0,0.0,1.0,3.0,1.0,1.0
conflict_japan_currency,conflicting_evidence,What is the official currency of Japan?,The yen.,conflict_japan_yen|direct_tokyo_currency|conflict_japan_yuan|missing_japan_islands|missing_japan_tokyo|conflict_japan_won,1.0,0.16666666666666666,1.0,True,0.46874996372076466,0.2833333333333334,0.8699999999999998,0.24333333333333337,0.24333333333333337,0.6988888888888892,0.86,2,2,0,1.0,2,1.0,1.0,,,,,,,,2.0,2.0,0.0,1.0,2.0,1.0,1.0,,,,,,,
conflict_water_boiling_point,conflicting_evidence,"At standard atmospheric pressure, at what Celsius temperature does water boil?",100 degrees Celsius.,conflict_boiling_100c|conflict_boiling_freezing_distractor|conflict_fever_celsius_distractor|conflict_boiling_90c|conflict_boiling_50c|conflict_fever_1004f,1.0,0.16666666666666666,1.0,True,0.35366929215012943,0.513640402192337,0.84,0.8075000000000001,0.8075000000000001,0.7486730617032475,0.83,2,2,0,1.0,2,1.0,1.0,,,,,,,,2.0,2.0,0.0,1.0,2.0,1.0,1.0,,,,,,,
conflict_solar_system_center,conflicting_evidence,What is the central body of the Solar System?,The Sun.,conflict_solar_sun|conflict_solar_jupiter|conflict_solar_earth|conflict_planet_saturn|conflict_solar_planets_distractor|conflict_planet_earth,1.0,0.16666666666666666,1.0,True,0.941025583096221,0.09583333333333333,0.8699999999999998,0.09583333333333333,0.09583333333333333,0.46179166666666666,0.86,2,2,0,1.0,2,1.0,1.0,,,,,,,,2.0,2.0,0.0,1.0,2.0,1.0,1.0,,,,,,,
direct_gravity_force,direct_evidence,What force pulls objects with mass toward one another?,Gravity.,direct_gravity_evidence|direct_gravity_magnetism|conflict_japan_won|missing_mars_orbit|conflict_solar_jupiter|missing_suez_waterway,1.0,0.16666666666666666,1.0,True,0.9230300241863756,0.08023809523809523,0.8699999999999998,0.07166666666666667,0.07166666666666667,0.4464742063492064,0.86,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
direct_highest_mountain,direct_evidence,What is the highest mountain above sea level on Earth?,Mount Everest.,direct_everest_evidence|direct_everest_k2|conflict_earth_planet|missing_mars_orbit|redundant_sahara_antarctica_distractor|redundant_pacific_a,1.0,0.16666666666666666,1.0,True,0.9035784568689333,0.08083333333333334,0.8699999999999998,0.08083333333333334,0.08083333333333334,0.46698611111111116,0.86,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
direct_japan_capital,direct_evidence,What is the capital city of Japan?,Tokyo.,conflict_japan_tokyo_distractor|direct_tokyo_evidence|missing_japan_tokyo|redundant_france_a|missing_japan_islands|direct_tokyo_kyoto,1.0,0.16666666666666666,0.5,False,0.3291788521175543,0.42333333333333334,0.8699999999999998,0.41,0.4166666666666667,0.7566666666666669,0.86,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
direct_mitochondria_role,direct_evidence,What do mitochondria produce for eukaryotic cells?,Much of the ATP energy used by the cells.,direct_mitochondria_evidence|direct_mitochondria_nucleus|missing_penicillin_mould|direct_hemoglobin_evidence|missing_suez_panama|missing_japan_islands,1.0,0.16666666666666666,1.0,True,0.8815244062616606,0.14216771351568908,0.8479999999999999,0.08590041873960896,0.10076729477608011,0.4706098701630468,0.836,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
complementary_battery_electrodes,complementary_evidence,Which two electrodes does an electrochemical cell have?,An anode and a cathode.,comp_battery_anode|comp_battery_cathode|comp_battery_electrolyte|comp_battery_voltage|missing_mars_missions|direct_dna_evidence,1.0,0.3333333333333333,1.0,True,0.9499999546063833,0.1458695005124284,0.7458695005124283,0.1392028338457617,0.1392028338457617,0.4518500873323989,0.84,1,1,0,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
complementary_versailles_allies,complementary_evidence,Which three Allied powers are listed as represented in the Treaty of Versailles negotiations?,"France, Britain, and the United States.",comp_treaty_france|comp_treaty_britain|comp_treaty_united_states|comp_treaty_germany_distractor|missing_japan_islands|conflict_japan_won,1.0,0.5,1.0,True,0.9347825734241458,0.1601071480904185,0.7061664231382352,0.2269997564715686,0.1501071480904185,0.39974187025011915,0.83,3,3,0,1.0,3,1.0,1.0,3.0,3.0,0.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,
complementary_central_dogma_steps,complementary_evidence,Which three components connect genetic instructions to protein synthesis?,"DNA, RNA, and ribosomes.",comp_protein_rna|comp_protein_dna|missing_japan_economy|direct_mitochondria_nucleus|missing_suez_shipping|conflict_heart_chambers_three,0.6666666666666666,0.3333333333333333,1.0,True,0.8863895784032261,0.07082242323307766,0.4813900299008466,0.0622509946616491,0.06510813751879195,0.299178338304586,0.4547631495022223,3,1,2,0.3333333333333333,0,0.0,0.0,3.0,1.0,2.0,0.3333333333333333,0.0,0.0,0.0,,,,,,,,,,,,,,
complementary_three_matter_states,complementary_evidence,Which three everyday states of matter are listed?,"Solid, liquid, and gas.",comp_tri_state_plasma_distractor|comp_tri_state_solid|comp_tri_state_liquid|comp_tri_state_gas|comp_lakes_us|conflict_australia_states,1.0,0.5,0.5,True,0.9394856584384398,0.20879078092969147,0.6327907809296914,0.3314574475963581,0.20879078092969147,0.40952302698133725,0.836,3,3,0,1.0,3,1.0,1.0,3.0,3.0,0.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,
redundant_largest_hot_desert,redundant_evidence,What is the largest hot desert in the world?,The Sahara.,redundant_sahara_a|redundant_sahara_c|redundant_sahara_antarctica_distractor|redundant_sahara_b|missing_japan_tokyo|conflict_earth_planet,1.0,0.5,1.0,True,0.9497907539076453,0.38999999999999996,0.8699999999999998,0.375,0.5216666666666666,0.7637777777777779,0.86,3,3,0,1.0,3,1.0,1.0,,,,,,,,,,,,,,,3.0,3.0,0.0,1.0,3.0,1.0,1.0
redundant_1984_author,redundant_evidence,Who wrote Nineteen Eighty-Four?,George Orwell.,redundant_orwell_a|redundant_orwell_b|direct_austen_bronte|redundant_orwell_huxley_distractor|redundant_orwell_c|missing_mars_orbit,1.0,0.5,1.0,True,0.9481500377701272,0.37083333333333335,0.8699999999999998,0.3658333333333334,0.6533333333333333,0.7410833333333336,0.86,3,3,0,1.0,3,1.0,1.0,,,,,,,,,,,,,,,3.0,3.0,0.0,1.0,3.0,1.0,1.0
redundant_largest_animal,redundant_evidence,What is the largest animal known to have lived on Earth?,The blue whale.,redundant_blue_whale_a|redundant_blue_whale_elephant_distractor|redundant_blue_whale_b|redundant_sahara_antarctica_distractor|redundant_pacific_a|conflict_planet_earth,0.6666666666666666,0.3333333333333333,1.0,True,0.9393732711341758,0.23166666666666666,0.8699999999999998,0.22166666666666665,0.36999999999999994,0.5972222222222222,0.86,3,1,2,0.3333333333333333,1,1.0,1.0,,,,,,,,,,,,,,,3.0,1.0,2.0,0.3333333333333333,1.0,1.0,1.0
redundant_first_moonwalker,redundant_evidence,Who was the first person to walk on the Moon?,Neil Armstrong.,redundant_neil_a|redundant_neil_c|redundant_neil_b|redundant_neil_aldrin_distractor|redundant_orbit_moon|missing_mars_orbit,1.0,0.5,1.0,True,0.8831571113083105,0.427536167179095,0.8699999999999998,0.42253616717909503,0.42253616717909503,0.757539833504143,0.86,3,3,0,1.0,3,1.0,1.0,,,,,,,,,,,,,,,3.0,3.0,0.0,1.0,3.0,1.0,1.0
conflict_fever_threshold,conflicting_evidence,What Fahrenheit temperature is commonly used as a fever threshold?,100.4 degrees Fahrenheit.,conflict_fever_1004f|conflict_fever_98f|conflict_fever_105f|conflict_fever_celsius_distractor|missing_penicillin_medicine|missing_penicillin_resistance,1.0,0.16666666666666666,1.0,True,0.5996324535650006,0.28963225822768085,0.8699999999999998,0.28963225822768085,0.28963225822768085,0.635045661232892,0.86,2,2,0,1.0,2,1.0,1.0,,,,,,,,2.0,2.0,0.0,1.0,2.0,1.0,1.0,,,,,,,
conflict_closest_planet_sun,conflicting_evidence,Which planet is closest to the Sun?,Mercury.,conflict_mercury_planet|conflict_earth_planet|missing_mars_orbit|conflict_venus_planet|conflict_planet_neptune|missing_mars_planet,1.0,0.16666666666666666,1.0,True,0.9588743347445151,0.13,0.8699999999999998,0.10999999999999999,0.11666666666666665,0.4801111111111112,0.86,2,2,0,1.0,2,1.0,1.0,,,,,,,,2.0,2.0,0.0,1.0,2.0,1.0,1.0,,,,,,,
conflict_liter_to_milliliters,conflicting_evidence,How many milliliters are in one liter?,1000 milliliters.,conflict_liter_1000ml|conflict_liter_10ml|conflict_liter_100ml|conflict_liter_gallon_distractor|missing_japan_islands|missing_suez_mediterranean,1.0,0.16666666666666666,1.0,True,0.707993532518985,0.19773900102485675,0.8319999999999999,0.19773900102485675,0.19773900102485675,0.5605153370761844,0.836,2,2,0,1.0,2,1.0,1.0,,,,,,,,2.0,2.0,0.0,1.0,2.0,1.0,1.0,,,,,,,
conflict_human_heart_chambers,conflicting_evidence,How many chambers does the human heart have?,Four chambers.,conflict_heart_chambers_four|conflict_heart_chambers_two|conflict_heart_chambers_three|conflict_heart_valves_distractor|missing_japan_islands|missing_suez_mediterranean,1.0,0.16666666666666666,1.0,True,0.4225372249400859,0.3973704062991899,0.82,0.5670599767029045,0.5670599767029045,0.6417628353522354,0.8085714285714286,2,2,0,1.0,2,1.0,1.0,,,,,,,,2.0,2.0,0.0,1.0,2.0,1.0,1.0,,,,,,,
missing_starry_night_artist,missing_evidence,Who painted The Starry Night?,Vincent van Gogh.,missing_van_gogh_starry_style|missing_van_gogh_sunflowers|conflict_monalisa_correct|conflict_solar_jupiter|missing_mars_planet|conflict_earth_planet,,,,,,0.08833333333333333,0.8566666666666665,0.20750000000000002,0.07416666666666667,0.5382361111111112,0.86,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
missing_suez_connection,missing_evidence,Which two seas does the Suez Canal connect?,The Mediterranean Sea and the Red Sea.,missing_suez_panama|missing_suez_mediterranean|missing_suez_waterway|missing_suez_shipping|missing_mars_orbit|missing_magellan_strait,,,,,,0.08976796182533182,0.5020497411086045,0.27680388547599544,0.18067362951685526,0.3705424215509763,0.4767815357548413,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
direct_panda_diet,direct_evidence,What do giant pandas mainly eat?,Bamboo.,direct_bamboo_panda_evidence|direct_bamboo_panda_habitat|direct_bamboo_koala_distractor|direct_bamboo_panda_bear|redundant_sahara_antarctica_distractor|missing_penicillin_treatment,1.0,0.16666666666666666,1.0,True,0.9350926652349838,0.10816666666666667,0.8479999999999999,0.06999999999999999,0.06999999999999999,0.44491111111111104,0.836,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
direct_hemoglobin_role,direct_evidence,What protein in red blood cells carries oxygen?,Hemoglobin.,direct_hemoglobin_evidence|direct_hemoglobin_white_cells|missing_mars_planet|comp_water_oxygen|missing_penicillin_mould|comp_photosynthesis_output,1.0,0.16666666666666666,1.0,True,0.9284290388752885,0.09250000000000001,0.8699999999999998,0.07166666666666667,0.07833333333333334,0.45286111111111116,0.86,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
missing_pythagorean_formula,missing_evidence,What formula relates the side lengths of a right triangle?,a squared plus b squared equals c squared.,missing_pythagorean_hypotenuse|missing_pythagorean_geometry|missing_pythagorean_area|missing_pythagorean_angles|comp_water_oxygen|missing_mars_planet,,,,,,0.014166666666666662,0.02416666666666667,0.004166666666666665,0.004166666666666665,0.013805555555555557,0.0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
missing_hubble_launch_year,missing_evidence,In what year was the Hubble Space Telescope launched?,1990.,missing_hubble_webb|missing_hubble_astronomy|redundant_orbit_b|conflict_solar_jupiter|redundant_neil_a|missing_mars_orbit,,,,,,0.014166666666666668,0.018166666666666668,0.0,0.0,0.009180555555555558,0.0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
missing_magellan_expedition_survivor,missing_evidence,Which ship completed Magellan's expedition around the world?,The Victoria.,missing_magellan_circumnavigation|missing_magellan_strait|redundant_pacific_atlantic|redundant_sahara_a|missing_suez_panama|redundant_orwell_huxley_distractor,,,,,,0.006666666666666665,0.017499999999999998,0.0033333333333333327,0.006666666666666665,0.010291666666666671,0.0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
