case_id,pattern,question,gold_answer,retrieved_ids,retrieval_recall_at_k,retrieval_precision_at_k,retrieval_mrr,top_attribution_is_gold,gold_attribution_mass,gold_deletion_auc,gold_insertion_auc,retrieval_order_deletion_auc,leave_one_out_deletion_auc,random_deletion_auc,full_gold_support,interaction_total_pairs,interaction_evaluable_pairs,interaction_skipped_pairs,interaction_coverage,interaction_correct_signs,interaction_sign_recovery,interaction_sign_accuracy,closed_book_answer,gold_context_answer,retrieved_context_answer,closed_book_f1,gold_context_f1,retrieved_context_f1,closed_book_exact_match,gold_context_exact_match,retrieved_context_exact_match,knowledge_source_class,generated_interaction_total_pairs,generated_interaction_evaluable_pairs,generated_interaction_skipped_pairs,generated_interaction_coverage,generated_interaction_correct_signs,generated_interaction_sign_recovery,generated_interaction_sign_accuracy,generated_top_attribution_is_gold,generated_gold_attribution_mass,full_generated_support,interaction_complementary_total_pairs,interaction_complementary_evaluable_pairs,interaction_complementary_skipped_pairs,interaction_complementary_coverage,interaction_complementary_correct_signs,interaction_complementary_sign_recovery,interaction_complementary_sign_accuracy,generated_interaction_complementary_total_pairs,generated_interaction_complementary_evaluable_pairs,generated_interaction_complementary_skipped_pairs,generated_interaction_complementary_coverage,generated_interaction_complementary_correct_signs,generated_interaction_complementary_sign_recovery,generated_interaction_complementary_sign_accuracy,interaction_conflicting_total_pairs,interaction_conflicting_evaluable_pairs,interaction_conflicting_skipped_pairs,interaction_conflicting_coverage,interaction_conflicting_correct_signs,interaction_conflicting_sign_recovery,interaction_conflicting_sign_accuracy,generated_interaction_conflicting_total_pairs,generated_interaction_conflicting_evaluable_pairs,generated_interaction_conflicting_skipped_pairs,generated_interaction_conflicting_coverage,generated_interaction_conflicting_correct_signs,generated_interaction_conflicting_sign_recovery,generated_interaction_conflicting_sign_accuracy,interaction_redundant_total_pairs,interaction_redundant_evaluable_pairs,interaction_redundant_skipped_pairs,interaction_redundant_coverage,interaction_redundant_correct_signs,interaction_redundant_sign_recovery,interaction_redundant_sign_accuracy,generated_interaction_redundant_total_pairs,generated_interaction_redundant_evaluable_pairs,generated_interaction_redundant_skipped_pairs,generated_interaction_redundant_coverage,generated_interaction_redundant_correct_signs,generated_interaction_redundant_sign_recovery,generated_interaction_redundant_sign_accuracy
missing_penicillin_discoverer,missing_evidence,Who discovered penicillin?,Alexander Fleming discovered penicillin.,missing_suez_mediterranean|missing_penicillin_mould|missing_mars_planet|missing_japan_economy|conflict_japan_won|redundant_sahara_antarctica_distractor,,,,,,0.03157401430683249,0.0503650641123081,0.05239540221368272,0.048227745416729306,0.04647838904916229,0.03849929281591491,0,0,0,,0,,,I cannot answer this question because no context was provided.,I cannot answer this question because no context was provided.,The retrieved context does not state who discovered penicillin.,0.0,0.0,0.30769230769230765,0.0,0.0,0.0,missing_evidence,0,0,0,,0,,,,,0.09082677987670906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
missing_japan_currency,missing_evidence,What is the currency of Japan?,The currency of Japan is the yen.,conflict_japan_yen|direct_tokyo_currency|conflict_japan_yuan|missing_japan_tokyo|conflict_japan_won|missing_japan_economy,,,,,,0.07159244947888187,0.16360181190391565,0.08932384761098024,0.05995932611937252,0.1423528748488187,0.170151289904519,0,0,0,,0,,,I cannot answer this question because no context was provided.,I do not have the retrieved context to answer this question.,The official currency of Japan is the yen.,0.0,0.1111111111111111,0.9333333333333333,0.0,0.0,0.0,missing_evidence,0,0,0,,0,,,,,0.2075705356197175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conflict_australia_capital,conflicting_evidence,What is the capital city of Australia?,Canberra is the capital city of Australia.,conflict_australia_correct|direct_tokyo_evidence|redundant_france_a|conflict_japan_tokyo_distractor|direct_canada_provinces|conflict_australia_sydney,1.0,0.16666666666666666,1.0,True,0.7699955917023266,-0.0021658437829219224,0.08666323458559695,-0.01612230011827238,-0.018623039668792907,0.03422565105772666,0.09687676954641844,1,1,0,1.0,0,0.0,0.0,I cannot answer this question because no context was provided.,Canberra is the capital city of Australia and the seat of the federal government.,Canberra is the capital city of Australia and it is the seat of the federal government.,0.0,0.6666666666666666,0.6086956521739131,0.0,0.0,0.0,retrieval_failure,1,1,0,1.0,0,0.0,0.0,True,0.8733597369204591,0.12989027353460625,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
conflict_potassium_symbol,conflicting_evidence,What is the chemical symbol for potassium?,The chemical symbol for potassium is K.,conflict_potassium_correct|conflict_potassium_sodium|conflict_potassium_phosphorus|conflict_mercury_element_distractor|conflict_potassium_element|missing_suez_shipping,1.0,0.16666666666666666,1.0,True,0.7273065622026256,0.05034275339817192,0.19039265680721731,0.08860234413099675,0.08116765972072167,0.12910569312736395,0.20752123657764487,1,1,0,1.0,1,1.0,1.0,I cannot answer this question because no context was provided.,"The chemical symbol for potassium is K, which comes from the Neo-Latin name kalium.","The chemical symbol for potassium is K, which comes from the Neo-Latin name kalium.",0.0,0.6363636363636364,0.6363636363636364,0.0,0.0,0.0,generation_or_model_failure,1,1,0,1.0,1,1.0,1.0,True,0.8660830492659956,0.21590551761711907,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
conflict_largest_planet,conflicting_evidence,Which is the largest planet in the Solar System?,Jupiter is the largest planet in the Solar System.,conflict_planet_correct|conflict_planet_saturn|conflict_solar_jupiter|conflict_planet_earth|conflict_earth_planet|missing_japan_tokyo,1.0,0.16666666666666666,1.0,False,0.27995140106461996,0.056129777469211134,0.08910238939615463,0.06080138137673236,0.08462266180149702,0.07672014396335326,0.09340535388173288,1,1,0,1.0,1,1.0,1.0,I cannot answer this question because no context was provided.,Jupiter is the largest planet in the Solar System by both mass and volume.,Jupiter is the largest planet in the Solar System by both mass and volume.,0.0,0.782608695652174,0.782608695652174,0.0,0.0,0.0,retrieval_enabled,1,1,0,1.0,1,1.0,1.0,True,0.8619772302834235,0.19532423693433665,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
conflict_mona_lisa_artist,conflicting_evidence,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.,conflict_monalisa_correct|conflict_monalisa_museum|missing_van_gogh_sunflowers|missing_suez_shipping|missing_penicillin_medicine|missing_mars_surface,1.0,0.16666666666666666,1.0,True,0.8759114088065959,0.02951987681642908,0.16118200792780737,0.033472777467402876,0.039170032426213426,0.09751122993111262,0.17601317051226528,1,0,1,0.0,0,,,I cannot answer this question because no context was provided.,Leonardo da Vinci painted the Mona Lisa.,Leonardo da Vinci painted the Mona Lisa.,0.0,1.0,1.0,0.0,1.0,1.0,retrieval_enabled,1,0,1,0.0,0,,,True,0.8759114088065959,0.17601317051226528,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,
redundant_atlantic_border,redundant_evidence,Which ocean borders South America to the east?,The Atlantic Ocean borders South America to the east.,redundant_atlantic_a|redundant_atlantic_b|redundant_atlantic_pacific|redundant_atlantic_geography|missing_magellan_strait|missing_japan_islands,1.0,0.3333333333333333,1.0,True,0.459774680412941,0.10021444581826473,0.13223290869406948,0.10051146082340719,0.13208224825329992,0.12312091789595825,0.146815404856955,1,1,0,1.0,1,1.0,1.0,I cannot answer this question because no context was provided.,"The Atlantic Ocean borders South America along its eastern side. Additionally, South America has the Atlantic Ocean to its east.","The Atlantic Ocean borders South America along its eastern side. Additionally, one source states that South America has the Atlantic Ocean to its east and the Pacific Ocean to its west.",0.0,0.6206896551724138,0.45000000000000007,0.0,0.0,0.0,generation_or_model_failure,1,1,0,1.0,0,0.0,0.0,True,0.8159196597572478,0.15226229213490583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
redundant_france_capital,redundant_evidence,What is the capital city of France?,Paris is the capital city of France.,redundant_france_a|direct_tokyo_evidence|conflict_japan_tokyo_distractor|direct_canada_provinces|redundant_france_marseille|conflict_australia_correct,0.5,0.16666666666666666,1.0,True,0.5744335647256456,0.1030987016793785,0.1905033071627232,0.10617920184631503,0.10389897488438758,0.14778339200266682,0.20741804962274946,1,0,1,0.0,0,,,I cannot answer this question because no context was provided.,"Paris is the capital city of France, and it is also the national seat of government for France.",Paris is the capital city of France.,0.0,0.56,1.0,0.0,0.0,1.0,generation_or_model_failure,1,0,1,0.0,0,,,True,0.5744335647256456,0.20741804962274946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,1.0,0.0,1.0,0.0,0.0,,
redundant_earth_orbit,redundant_evidence,What object does Earth orbit?,Earth orbits the Sun.,missing_hubble_orbit|redundant_orbit_a|missing_mars_orbit|conflict_earth_planet|redundant_orbit_moon|conflict_planet_earth,0.5,0.16666666666666666,0.5,True,0.4673835292117169,0.10536845866874141,0.1895512484354518,0.13746122868454572,0.08642527496439378,0.16400598294750102,0.18325404285564117,1,0,1,0.0,0,,,I cannot answer this question because no context was provided.,Earth travels in an orbit around the Sun.,"Earth travels in an orbit around the Sun. Additionally, the Moon orbits Earth.",0.0,0.5,0.47058823529411764,0.0,0.0,0.0,generation_or_model_failure,1,0,1,0.0,0,,,False,0.34759886742668017,0.18912351202217748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,1.0,0.0,1.0,0.0,0.0,,
redundant_largest_ocean,redundant_evidence,Which is the largest ocean on Earth?,The Pacific Ocean is the largest ocean on Earth.,redundant_pacific_a|redundant_pacific_atlantic|missing_japan_tokyo|conflict_planet_earth|conflict_earth_planet|redundant_sahara_antarctica_distractor,0.5,0.16666666666666666,1.0,True,0.7931863449049367,0.03248330839746893,0.15829331054637288,0.0315624193720327,0.0681617379006719,0.10628135975293697,0.1727731529023494,1,0,1,0.0,0,,,I cannot answer this question because no context was provided.,The Pacific Ocean is the largest ocean on Earth.,The Pacific Ocean is the largest ocean on Earth.,0.0,1.0,1.0,0.0,1.0,1.0,retrieval_enabled,1,0,1,0.0,0,,,True,0.7931863449049367,0.1727731529023494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,1.0,0.0,1.0,0.0,0.0,,
complementary_inner_rocky_planets,complementary_evidence,Which three planets after Mercury are inner rocky planets?,"Venus, Earth, and Mars.",comp_inner_venus|comp_inner_jupiter_distractor|comp_inner_mars|conflict_solar_planets_distractor|comp_inner_earth|missing_mars_planet,1.0,0.5,1.0,True,0.766584146640445,0.08440777851395398,0.1474982510171989,0.12542378951122046,0.0851715606057271,0.11656995371620725,0.16589697950064863,3,3,0,1.0,0,0.0,0.0,I cannot answer this question because no context was provided.,"The three inner rocky planets after Mercury are Venus, Earth, and Mars.","The three inner rocky planets after Mercury are Venus, Earth, and Mars.",0.0,0.5,0.5,0.0,0.0,0.0,generation_or_model_failure,3,3,0,1.0,0,0.0,0.0,True,0.682050366896785,0.171042903181436,3.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complementary_rgb_primary_light,complementary_evidence,Which three additive primary colours of light are listed?,"Red, green, and blue.",comp_primary_blue|comp_primary_red|comp_primary_green|comp_primary_paint_distractor|missing_suez_shipping|missing_penicillin_medicine,1.0,0.5,1.0,True,0.8377533343788496,0.006479428268589475,0.044097106231178025,0.023661418318084364,0.021433287086652996,0.029548002049788136,0.02964097052391501,3,3,0,1.0,1,0.3333333333333333,0.3333333333333333,I cannot answer this question because no context was provided.,"The three additive primary colours of light listed are Red, Green, and Blue.","The three additive primary colours of light listed are blue, red, and green.",0.0,0.47058823529411764,0.47058823529411764,0.0,0.0,0.0,generation_or_model_failure,3,3,0,1.0,0,0.0,0.0,True,0.7388963813893333,0.23186227909294732,3.0,3.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,3.0,3.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redundant_speed_of_light,redundant_evidence,What is the approximate speed of light in a vacuum?,"About 300,000 kilometres per second.",redundant_light_speed_a|redundant_light_speed_c|redundant_light_speed_b|comp_primary_blue|redundant_light_sound_distractor|direct_mitochondria_chloroplast,1.0,0.5,1.0,True,0.9026663267332679,0.01980714120156163,0.0967388799528176,0.05257992099091353,-0.010888713686690163,0.04991670584881322,0.09441722970458277,3,3,0,1.0,2,0.6666666666666666,0.6666666666666666,I do not have the necessary context to answer this question.,"The speed of light in a vacuum can be stated in several ways based on the context:

*   Exactly, it is 299,792,458 metres per second [1].
*   Approximately, it is about 300,000 kilometres per second [2].
*   As a physics constant (c), it is approximately $3.00 \times 10^8$ m/s [3","The speed of light in a vacuum can be stated in several ways based on the context:

*   Exactly, it is 299,792,458 metres per second.
*   Approximately, physics denotes it as $c$, which is about $3.00 \times 10^8$ m/s.
*   It travels through a vacuum at about 300,000 kilometres per second.",0.0,0.2033898305084746,0.19999999999999998,0.0,0.0,0.0,generation_or_model_failure,3,3,0,1.0,1,0.3333333333333333,0.3333333333333333,True,0.9347498173602544,0.09759025102498975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,1.0,2.0,0.6666666666666666,0.6666666666666666,3.0,3.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
redundant_hamlet_author,redundant_evidence,Who wrote Hamlet?,William Shakespeare.,redundant_hamlet_a|redundant_hamlet_c|redundant_hamlet_b|redundant_orwell_a|direct_austen_evidence|redundant_orwell_huxley_distractor,1.0,0.5,1.0,True,0.8436022166426466,0.0530892834737306,0.18115076987895617,0.0683168315303231,0.15018559966347123,0.13602313547797404,0.17609448212275913,3,3,0,1.0,3,1.0,1.0,I cannot answer this question because no context was provided.,William Shakespeare wrote the tragedy Hamlet.,William Shakespeare wrote the tragedy Hamlet.,0.0,0.5,0.5,0.0,0.0,0.0,generation_or_model_failure,3,3,0,1.0,3,1.0,1.0,True,0.9163288082161463,0.25612985505179375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,3.0,0.0,1.0,3.0,1.0,1.0
conflict_japan_currency,conflicting_evidence,What is the official currency of Japan?,The yen.,conflict_japan_yen|direct_tokyo_currency|conflict_japan_yuan|missing_japan_tokyo|conflict_japan_won|missing_japan_economy,1.0,0.16666666666666666,1.0,False,0.21251851424373203,0.11751490564704307,0.27811161664779155,0.15247300250606477,0.2269934576125686,0.24103960660790733,0.28384784182140665,2,2,0,1.0,2,1.0,1.0,I cannot answer this question because no context was provided.,The official currency of Japan is the yen.,The official currency of Japan is the yen.,0.0,0.4,0.4,0.0,0.0,0.0,generation_or_model_failure,2,2,0,1.0,0,0.0,0.0,True,0.5359332087651425,0.16727004434669634,,,,,,,,,,,,,,,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
conflict_water_boiling_point,conflicting_evidence,"At standard atmospheric pressure, at what Celsius temperature does water boil?",100 degrees Celsius.,conflict_boiling_100c|conflict_boiling_freezing_distractor|conflict_fever_celsius_distractor|comp_water_states|conflict_fever_1004f|conflict_boiling_50c,1.0,0.16666666666666666,1.0,True,0.6065675275197748,0.040334060753755056,0.081669599312674,0.04269655253587635,0.03252551324109975,0.0559659845762436,0.07706477669020428,2,1,1,0.5,1,1.0,1.0,I do not have the retrieved context to answer your question.,"At standard atmospheric pressure, water boils at 100 degrees Celsius.","At standard atmospheric pressure, water boils at 100 degrees Celsius.",0.0,0.4615384615384615,0.4615384615384615,0.0,0.0,0.0,generation_or_model_failure,2,1,1,0.5,1,1.0,1.0,True,0.6614674083139137,0.11306318816830752,,,,,,,,,,,,,,,2.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,
conflict_solar_system_center,conflicting_evidence,What is the central body of the Solar System?,The Sun.,conflict_solar_sun|conflict_solar_jupiter|conflict_planet_earth|missing_suez_shipping|missing_penicillin_medicine|missing_mars_surface,1.0,0.16666666666666666,1.0,True,0.7272674119162126,0.025967410653769413,0.15190967773466865,0.04131967858257952,-0.005655291936721744,0.09143711629208623,0.15190094018738076,2,1,1,0.5,0,0.0,0.0,I cannot answer this question because no context was provided.,The Sun is the central body of the Solar System.,The Sun is the central body of the Solar System.,0.0,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,generation_or_model_failure,2,1,1,0.5,0,0.0,0.0,True,0.8670880378723442,0.1255488586319321,,,,,,,,,,,,,,,2.0,1.0,1.0,0.5,0.0,0.0,0.0,2.0,1.0,1.0,0.5,0.0,0.0,0.0,,,,,,,,,,,,,,
